chennai_crime_dataset_high_accuracy_5000_records
crime_id,crime_type,reported_datetime,road_name,latitude,longitude,road_segment_id,lighting,road_type,crime_count_6mo,crime_types_in_area,police_distance_km,cctv_present,eyewitness_reports,victims_count,victims_age_group,victims_gender,severity_level,case_status,primary_evidence,jurisdiction,reported_by,community_reports,safety_score,affected_route_id,affected_segments,proximity_to_route_km,sanitized_description,area_type,hour,month,day_of_week,is_night,is_weekend
crime_0000,homicide,2025-02-18 18:20:21,Road_82,12.964372,80.331468,seg_2560,Moderate,Main road,50,rape,2.18,Yes,3,1,Mixed,Male,Low,Closed - Arrest,CCTV footage,Chennai West,Police Report,4,6.009,route_141,seg_1440;seg_2622;seg_3232;seg_5555,1.738,Crime incident reported and under investigation.,medium_crime,12,2,1,0,0
crime_0001,scam,2025-05-23 18:20:21,Road_84,12.980088,80.192226,seg_8888,Good,Residential,50,"murder,rape,scam",1.24,Yes,3,2,Child,Male,High,Under Investigation,Forensic samples,Chennai North,Citizen App,4,6.632,route_930,seg_2791;seg_5799;seg_5985,1.061,Crime incident reported and under investigation.,low_crime,7,5,4,0,0
crime_0002,assault,2025-03-01 18:20:21,Road_31,12.956624,80.267038,seg_2780,Moderate,Residential,181,"assault,robbery",1.12,Yes,0,2,Adult,Female,Low,Closed - Arrest,Witness statements,Chennai South,Anonymous Tip,5,8.335,route_683,seg_6188;seg_6797;seg_7528;seg_1566,0.874,Crime incident reported and under investigation.,low_crime,22,3,5,1,1
crime_0003,burglary,2025-01-10 18:20:21,Road_21,13.041344,80.316277,seg_6947,Good,Main road,50,"assault,theft,robbery",2.33,Yes,1,2,Adult,Male,High,Open,No evidence,Chennai North,Anonymous Tip,7,7.515,route_845,seg_4798,0.343,Crime incident reported and under investigation.,low_crime,11,1,4,0,0
crime_0004,theft,2025-09-28 18:20:21,Road_81,13.102163,80.186866,seg_4194,Moderate,Alley,145,"scam,assault,robbery",3.26,Yes,0,2,Mixed,Male,Medium,Closed - Unsolved,Forensic samples,Chennai Central,Anonymous Tip,0,6.303,route_903,seg_1529,1.235,Crime incident reported and under investigation.,medium_crime,17,9,6,0,1
crime_0005,murder,2025-07-05 18:20:21,Road_56,13.041841,80.325186,seg_7592,Moderate,Underpass,80,"eve_teasing,assault,burglary",2.5,Yes,4,2,Adult,Female,Critical,Open,Forensic samples,Chennai North,Citizen App,11,8.311,route_146,seg_2236;seg_7875;seg_5474;seg_8143,0.715,Crime incident reported and under investigation.,low_crime,18,7,5,0,1
crime_0006,robbery,2025-01-14 18:20:21,Road_15,13.023723,80.325079,seg_4294,Moderate,Underpass,98,robbery,2.41,Yes,4,2,Mixed,Mixed,High,Under Investigation,No evidence,Chennai South,Anonymous Tip,9,6.441,route_673,seg_4401,0.264,Crime incident reported and under investigation.,low_crime,21,1,1,1,0
crime_0007,homicide,2025-10-27 18:20:21,Road_93,12.965587,80.217998,seg_3698,Poor,Residential,400,homicide,7.95,No,2,3,Adult,Mixed,Critical,Closed - Arrest,Forensic samples,Chennai South,NGO Report,8,1.145,route_953,seg_3942;seg_4486;seg_9812;seg_9155,0.466,Crime incident reported and under investigation.,high_crime,22,10,0,1,0
crime_0008,homicide,2025-05-03 18:20:21,Road_77,13.045745,80.200042,seg_6862,Moderate,Alley,258,"eve_teasing,rape,vandalism",2.78,Yes,2,2,Mixed,Male,Low,Under Investigation,CCTV footage,Chennai East,Hospital,4,7.893,route_364,seg_3748,0.592,Crime incident reported and under investigation.,low_crime,2,5,5,1,1
crime_0009,scam,2024-11-24 18:20:21,Road_94,12.964103,80.347907,seg_4204,Moderate,Market street,400,"theft,homicide",2.83,No,3,2,Mixed,Male,Low,Open,Digital trace,Chennai West,Police Report,7,4.865,route_323,seg_4699;seg_6614,0.93,Crime incident reported and under investigation.,medium_crime,9,11,6,0,1
crime_0010,robbery,2025-03-24 18:20:21,Road_5,12.955977,80.21668,seg_7967,Dark,Main road,400,"theft,eve_teasing",5.91,No,5,2,Child,Mixed,Critical,Closed - Unsolved,Digital trace,Chennai Central,NGO Report,7,1.911,route_394,seg_6999,0.402,Crime incident reported and under investigation.,high_crime,13,3,0,0,0
crime_0011,murder,2025-07-13 18:20:21,Road_84,13.021065,80.293064,seg_6815,Moderate,Main road,292,"scam,eve_teasing,theft",2.92,Yes,5,3,Child,Female,Medium,Closed - Arrest,Forensic samples,Chennai Central,Citizen App,12,7.2,route_335,seg_3506;seg_4640;seg_2608,0.68,Crime incident reported and under investigation.,low_crime,4,7,6,1,1
crime_0012,eve_teasing,2025-04-06 18:20:21,Road_14,13.089309,80.302914,seg_7487,Good,Residential,50,"robbery,assault",0.36,Yes,0,3,Adult,Male,Low,Closed - Arrest,Forensic samples,Chennai Central,Hospital,9,8.593,route_359,seg_4286;seg_2572;seg_3217,0.695,Crime incident reported and under investigation.,very_low_crime,16,4,6,0,1
crime_0013,scam,2025-10-30 18:20:21,Road_4,13.024316,80.291355,seg_2713,Moderate,Alley,50,"vandalism,theft,robbery",2.85,Yes,1,1,Adult,Mixed,Medium,Under Investigation,Witness statements,Chennai East,Hospital,4,8.267,route_193,seg_8919;seg_2367,1.29,Crime incident reported and under investigation.,low_crime,8,10,3,0,0
crime_0014,assault,2025-06-14 18:20:21,Road_37,13.129515,80.277677,seg_5926,Good,Main road,50,"scam,eve_teasing",0.95,Yes,1,3,Mixed,Mixed,High,Open,CCTV footage,Chennai North,Citizen App,9,8.644,route_778,seg_7470;seg_7868,1.21,Crime incident reported and under investigation.,very_low_crime,4,6,5,1,1
crime_0015,scam,2025-01-31 18:20:21,Road_79,12.983654,80.18047,seg_6710,Good,Residential,50,"vandalism,assault,rape",1.0,Yes,3,1,Child,Female,High,Closed - Unsolved,No evidence,Chennai South,Citizen App,5,7.069,route_635,seg_5104;seg_2478;seg_2060;seg_4955,0.581,Crime incident reported and under investigation.,low_crime,6,1,4,1,0
