chennai_crime_dataset_500_synthetic_plus100
crime_id,crime_type,reported_datetime,road_name,latitude,longitude,road_segment_id,lighting,road_type,crime_count_6mo,crime_types_in_area,police_distance_km,cctv_present,eyewitness_reports,victims_count,victims_age_group,victims_gender,severity_level,case_status,primary_evidence,jurisdiction,reported_by,community_reports,safety_score,affected_route_id,affected_segments,proximity_to_route_km,sanitized_description
44ac371f-946c-42aa-94a3-0b497164306a,femicide,2025-09-04 10:36:23,Anna Salai,12.991324,80.231041,seg_6747,Moderate,Underpass,392,vandalism,1.54,No,0,108,Mixed,Female,Low,Under Investigation,Partial evidence,Chennai North,Citizen App,12,0.037,route_621,seg_5543,1.301,Victim(s) reported; case under preliminary investigation.
03fbc721-f87d-4b39-8b12-b7cdb1c0a0b1,robbery,2025-09-04 06:07:43,Nungambakkam High Road,13.113016,80.285915,seg_7187,Moderate,Residential,337,burglary,0.33,Yes,0,105,Mixed,Female,High,Under Investigation,CCTV footage,Chennai South,Anonymous Tip,6,0.648,route_621,seg_2511,0.093,Victim(s) reported; case under preliminary investigation.
4af6a37e-ee94-4716-819e-ec31faa29695,child_abuse,2025-09-02 16:15:07,Alwarpet Lane,13.028402,80.314326,seg_5263,Poor,Residential,397,"eve_teasing,robbery,fraud",2.19,Yes,0,108,Child,Female,Low,Open,CCTV footage,Chennai East,Citizen App,0,0.175,route_832,seg_7265,0.038,Victim(s) reported; case under preliminary investigation.
4a951e24-3193-45b0-b922-4f35cff54b24,murder,2025-08-24 18:20:44,T. Nagar Main Rd,12.960217,80.318502,seg_4218,Moderate,Highway,308,"assault,burglary",0.05,No,1,108,Adult,Female,Medium,Open,CCTV footage,Chennai East,Hospital,1,0.45,route_937,seg_4191;seg_8475;seg_1008;seg_5124,1.132,Allegation received; case forwarded to investigating officer.
6509e488-6a81-49ed-9d23-e3d64375b904,theft,2025-08-12 16:26:30,Royapettah Main St,13.146877,80.346834,seg_7693,Good,Alley,376,fraud,0.11,Yes,4,109,Child,Mixed,High,Closed - Arrest,Digital trace,Chennai Central,Media Report,8,0.816,route_745,seg_4688;seg_7618;seg_9107;seg_8600,0.429,Reported suspicious activity; law enforcement notified.
8d60f31a-f6bc-491f-ae36-378c047f049f,robbery,2025-07-27 16:16:42,Velachery Bypass,12.982865,80.20922,seg_1607,Moderate,Alley,350,"fraud,vandalism,eve_teasing",2.47,No,4,116,Adult,Mixed,Medium,Closed - Unsolved,Digital trace,Chennai East,NGO Report,11,0.344,route_960,seg_6638;seg_1129;seg_5583,1.35,Allegation received; case forwarded to investigating officer.
be4aa5ef-aee5-453b-bc93-588b3e5d7bc9,robbery,2025-07-25 17:21:09,Kamarajar Salai,13.111711,80.309897,seg_2727,Poor,Residential,375,vandalism,0.41,Yes,3,120,Child,Male,Low,Open,CCTV footage,Chennai North,Hospital,12,0.562,route_583,seg_3851,0.482,Reported suspicious activity; law enforcement notified.
c1bb191f-2990-4f14-b93d-dc9c25ed5fe8,arson,2025-07-21 20:13:15,Triplicane Back Street,13.024992,80.320423,seg_8975,Good,Market street,206,"fraud,eve_teasing,theft",0.36,No,0,107,Mixed,Male,High,Open,Partial evidence,Chennai East,Police Report,10,0.402,route_267,seg_4492;seg_7950,1.253,Victim(s) reported; case under preliminary investigation.
cbfb3e0f-b2fa-4275-aee9-0c7a8e57a7c5,theft,2025-07-09 13:17:46,Nungambakkam High Road,13.105902,80.261514,seg_5141,Good,Residential,297,"robbery,theft",3.99,Yes,0,111,Mixed,Unknown,Low,Closed - Arrest,Witness statements,Chennai West,Police Report,0,0.729,route_456,seg_3236,0.491,Reported suspicious activity; law enforcement notified.
96d91c8e-09c3-46b7-a93b-3fc9de6be08b,theft,2025-07-07 19:22:19,Triplicane Back Street,13.107347,80.238931,seg_3084,Good,Highway,209,eve_teasing,0.85,Yes,3,105,Mixed,Male,Low,Closed - Arrest,Witness statements,Chennai East,Hospital,9,0.844,route_524,seg_4734,0.091,Report indicates violent altercation; details under review.
